X,Y,FID,User_fld,USER_Name,USER_Type,USER_Phone,USER_Addre,USER_Websi
-77.6394700653881,43.1696108563092,29,MONR015261,54 - The Flower City School,Elementary,254-2080,"36 Otis Street Rochester, NY 14606",https://www.rcsdk12.org/profile/54
-77.5971885308993,43.1600273200741,30,MONR381236,58 - World of Inquiry School,Elementary,325-6170,"200 University Ave., Rochester, NY 14605",https://www.rcsdk12.org/profile/58
-77.642888947687,43.1650115885389,31,MONR246916,All City High,Program,458-2110,"2 Austin St. Rochester, NY 14606",https://www.rcsdk12.org/profile/allcity
-77.6159722532022,43.1480605091684,32,MONR013997,Dr. Alice Holloway Young School of Excellence,Secondary,454-3525,"85 Adams St., Rochester, NY 14608",https://www.rcsdk12.org/profile/3
-77.563411246762,43.1585797212122,33,MONR014892,East Lower School,Secondary,288-3130,"1801 E. Main St., Rochester, NY 14609",https://www.rcsdk12.org/profile/eastlower
-77.563411246762,43.1585797212122,34,MONR014892,East Upper School,Secondary,288-3130,"1801 E. Main St., Rochester, NY 14609",https://www.rcsdk12.org/profile/eastupper
-77.6724277207614,43.1778115198547,35,MONR014021,Edison Career & Technology High School,Secondary,324-9700,"655 Colfax St., Rochester, NY 14606",https://www.rcsdk12.org/profile/edison
-77.5980332459117,43.1886673331745,36,MONR263734,Franklin Lower School,Secondary,585-467-3131,"950 Norton St., Rochester, NY 14621",https://www.rcsdk12.org/profile/franklinlower
-77.5980332459117,43.1886673331745,37,MONR263734,Franklin Upper School,Secondary,(585) 467-3131,"950 Norton Street Rochester, NY 14621",https://www.rcsdk12.org/profile/franklinupper
-77.6183073046009,43.1712748433208,38,MONR383851,Home Hospital Instruction,Program,254-1240,"30 Hart St., Rochester, NY 14605",https://www.rcsdk12.org/profile/hhi
-77.5975061413987,43.1469758866897,39,MONR391695,James Monroe Lower School,Secondary,585-232-1530,"164 Alexander Street Rochester, NY 14607",https://www.rcsdk12.org/profile/monroelower
-77.5975061413987,43.1469758866897,40,MONR391695,James Monroe Upper School,Secondary,232-1530,"164 Alexander Street Rochester, NY 14607",https://www.rcsdk12.org/profile/monroeupper
-77.6352148897467,43.1453407976373,41,MONR247458,Joseph C. Wilson Foundation Academy,Elementary,463-4100,"200 Genesee St., Rochester, NY 14611",https://www.rcsdk12.org/profile/wfa
-77.6191715692986,43.2460610425502,42,MONR015024,Leadership Academy for Young Men,Secondary,324-7760,"4115 Lake Ave., Rochester, NY 14612",https://www.rcsdk12.org/profile/lafym
-77.6183073046009,43.1712748433208,43,MONR383851,LyncX Academy,Program,254-1240,"30 Hart St., Rochester, NY 14605",https://www.rcsdk12.org/profile/lyncx
-77.6372032421113,43.140284454485,44,12074000010380000000,Joseph C. Wilson Magnet High School Commencement Academy,Secondary,328-3440,"501 Genesee St., Rochester, NY 14611",https://www.rcsdk12.org/profile/wilson
-77.5650350397745,43.1806331785656,45,MONR015892,Northeast College Preparatory High School,Secondary,324-9273,"940 Fernwood Park, Rochester, NY 14609",https://www.rcsdk12.org/profile/ne
-77.6138852128802,43.1715853092263,46,MONR265529,NorthSTAR,Program,324-9945,"54 Oakman Street Rochester, NY 14605",https://www.rcsdk12.org/profile/northstar
-77.5650350397745,43.1806331785656,47,MONR015892,Northwest Junior High at Douglass,Secondary,324-9289,"940 Fernwood Park, Rochester, NY 14609",https://www.rcsdk12.org/profile/nw
-77.6075084069974,43.1594144223373,48,MONR016793,Rochester Early Childhood Education Center NE,Pre-Kindergarten Center,585-324-3100,"107 N. Clinton Avenue Rochester, NY 14604", 
-77.6352148897467,43.1453407976373,49,MONR247458,Rochester Early College International High School,Secondary,324-9010,"200 Genesee St., Rochester, NY 14611",https://www.rcsdk12.org/profile/echs
-77.6075084069974,43.1594144223373,50,MONR016793,Rochester Preschool Parent Program,Program,328-3360,"107 N. Clinton Ave., Rochester, NY 14604",https://www.rcsdk12.org/preklocations
-77.5909365255004,43.1584699265105,51,MONR012990,School of the Arts,Secondary,242-7682,"45 Prince St., Rochester, NY 14607",https://www.rcsdk12.org/profile/sota
-77.6002422839754,43.1476787306502,52,MONR012726,School Without Walls Commencement Academy,Secondary,546-6732,"480 Broadway, Rochester, NY 14607",https://www.rcsdk12.org/profile/sww
-77.6183073046009,43.1712748433208,53,MONR383851,Youth & Justice,Program,683-7402,"30 Hart St., Rochester, NY 14605",https://www.rcsdk12.org/profile/youthjustice
-77.6343145664093,43.1711324476716,54,MONR015123,Rochester International Academy,Program,324-5250,"1 Edgerton Park, Rochester, NY 14608",https://www.rcsdk12.org/profile/ria
